breakpoint_index,date,spread_at_break
55,2000-03-20,4.08
205,2000-10-16,5.5200000000000005
445,2001-09-17,7.75
485,2001-11-12,7.4
565,2002-03-04,6.14
645,2002-06-24,6.43
755,2002-11-25,7.01
845,2003-03-31,6.14
900,2003-06-16,5.06
985,2003-10-13,3.92
1255,2004-10-25,2.8299999999999996
1370,2005-04-04,2.6399999999999997
1585,2006-01-30,2.44
1815,2006-12-18,2.0700000000000003
1970,2007-07-23,2.3499999999999996
2050,2007-11-12,3.3
2090,2008-01-07,4.34
2165,2008-04-21,4.39
2215,2008-06-30,4.609999999999999
2280,2008-09-29,6.1
2315,2008-11-17,11.5
2345,2008-12-29,13.059999999999999
2415,2009-04-06,10.649999999999999
2435,2009-05-04,8.45
2495,2009-07-27,6.71
2530,2009-09-14,6.15
2595,2009-12-14,4.93
2850,2010-12-06,4.16
3025,2011-08-08,4.9399999999999995
3130,2012-01-02,4.82
3390,2012-12-31,3.8
3600,2013-10-21,2.96
3840,2014-09-22,2.88
4070,2015-08-10,3.8999999999999995
4155,2015-12-07,4.88
4250,2016-04-18,4.99
4310,2016-07-11,4.11
4415,2016-12-05,3.23
4765,2018-04-09,2.4699999999999998
4920,2018-11-12,2.48
5265,2020-03-09,4.8
5320,2020-05-25,5.1
5360,2020-07-20,4.1
5440,2020-11-09,3.03
5505,2021-02-08,2.56
5830,2022-05-09,3.03
6110,2023-06-05,3.0
6250,2023-12-18,2.46
