parameter,value
p[0->0],0.9744158000907125
p[1->0],0.029196082052730124
p[2->0],6.993286011066235e-11
p[0->1],0.025584199838692208
p[1->1],0.9620017039076602
p[2->1],0.04694602625940709
const[0],0.0004325389469392649
const[1],-7.783073625463768e-05
const[2],0.00023210715655687673
x1[0],0.0004325389466954133
x1[1],-7.783073663320904e-05
x1[2],0.00023210715660211485
x2[0],-0.04668719946807504
x2[1],-0.06921661577479453
x2[2],-0.05661357728797556
sigma2[0],2.51238849553455e-05
sigma2[1],0.00010997463578215113
sigma2[2],0.0007052828042959735
