test_start,test_end,n_train,n_test,accuracy,auc,pos_rate_train,pos_rate_test
2011-01-01,2012-01-01,1165,260,0.47307692307692306,0.4498794137653825,0.6386266094420601,0.6038461538461538
2012-01-01,2013-01-01,1305,262,0.3931297709923664,0.2339455602536998,0.6,0.6717557251908397
2013-01-01,2014-01-01,1306,262,0.42366412213740456,0.46613965744400526,0.6179173047473201,0.7900763358778626
2014-01-01,2015-01-01,1305,262,0.7519083969465649,0.6047654304368311,0.7019157088122605,0.683206106870229
2015-01-01,2016-01-01,1305,262,0.5,0.37045255474452554,0.685823754789272,0.5229007633587787
2016-01-01,2017-01-01,1305,261,0.7011494252873564,0.6454069856901061,0.6551724137931034,0.7432950191570882
2017-01-01,2018-01-01,1305,261,0.842911877394636,0.39312638580931264,0.6835249042145594,0.842911877394636
2018-01-01,2019-01-01,1305,262,0.5648854961832062,0.4610597439544808,0.7180076628352491,0.5648854961832062
2019-01-01,2020-01-01,1305,262,0.7824427480916031,0.5299101412066752,0.6720306513409962,0.7824427480916031
2020-01-01,2021-01-01,1305,263,0.7604562737642585,0.6257142857142858,0.6911877394636016,0.7604562737642585
2021-01-01,2022-01-01,1306,261,0.2720306513409962,0.3581976841751972,0.7381316998468607,0.7739463601532567
2022-01-01,2023-01-01,1305,260,0.4153846153846154,0.5310063352826511,0.7440613026819923,0.4153846153846154
2023-01-01,2024-01-01,1305,261,0.4367816091954023,0.40642265193370164,0.6590038314176245,0.6934865900383141
2024-01-01,2025-01-01,1305,263,0.779467680608365,0.6645401382243488,0.6850574712643678,0.7946768060836502
2025-01-01,2026-01-01,1306,240,0.7416666666666667,0.6483487215909091,0.6875957120980092,0.7333333333333333
