strategy_id,signal,lead,threshold,trades_per_year,deployability_raw_score,mapped_deployability_score,valid,oos_sharpe
P1,hy_ig_spread,0,T3_2.5,18.0,18.0,5.0,False,1.0397198454706142
P1,hy_ig_spread,5,T2_95,36.0,36.0,4.0,True,0.9638607999397865
P1,hy_ig_spread,0,T3_1.5,40.0,40.0,3.75,True,0.9605076747920037
P1,hy_ig_spread,0,T3_2.0,32.0,32.0,4.25,True,0.957173692298754
P1,hy_ig_spread,1,T3_1.5,40.0,40.0,3.75,True,0.9203743728348142
P1,hy_ig_spread,1,T3_2.0,32.0,32.0,4.25,True,0.8729269358727068
P1,hy_ig_spread,5,T3_2.0,32.0,32.0,4.25,True,0.87219701554799
P3,hy_ig_spread,5,T1_85,6.0,6.0,5.0,False,0.8686334423834395
P3,hy_ig_spread,63,T3_2.5,18.0,18.0,5.0,False,0.8580888877114756
P3,hy_ig_spread,0,T3_2.5,18.0,18.0,5.0,False,0.8572676616469079
P1,hy_ig_spread,63,T3_2.5,18.0,18.0,5.0,False,0.8439396013760423
P3,hy_ig_spread,5,T2_95,36.0,36.0,4.0,True,0.836944582261086
P1,hy_ig_spread,5,T3_1.5,40.0,40.0,3.75,True,0.8273220509874256
P1,hy_ig_spread,5,T1_85,6.0,6.0,5.0,False,0.8257497127169469
P1,hy_ig_spread,1,T3_2.5,18.0,18.0,5.0,False,0.8196630245807576
P1,hy_ig_spread,1,T2_95,36.0,36.0,4.0,True,0.810478895212581
P1,hy_ig_spread,5,T3_2.5,18.0,18.0,5.0,False,0.7905978237111052
P1,hy_ig_spread,1,T1_75,8.0,8.0,5.0,False,0.7753340644387977
P1,hy_ig_spread,0,T1_95,0.0,0.0,0.0,False,0.7725943548357259
P3,hy_ig_spread,0,T1_95,0.0,0.0,0.0,False,0.7725943548357259
