strategy_id,oos_sharpe,oos_ann_return,oos_max_dd,n_trades,oos_win_rate,return_ratio
P1,1.0397198454706142,0.15556935595895913,-0.2335406635175755,18,0.5090996168582376,
P1,0.9638607999397865,0.15363522553293132,-0.24029427626910294,36,0.5038314176245211,
P1,0.9605076747920037,0.13165761405340282,-0.2711312186946787,40,0.47988505747126436,
P1,0.957173692298754,0.13932102145498554,-0.23888306073982346,32,0.49808429118773945,
P1,0.9203743728348142,0.12774642002561523,-0.29975185781678676,40,0.47988505747126436,
P1,0.8729269358727068,0.12816026412091935,-0.28634317503390877,32,0.4976053639846743,
P1,0.87219701554799,0.13585846127863782,-0.31470289982755606,32,0.49712643678160917,
P3,0.8686334423834395,0.16579317254479628,-0.3371724619017907,6,0.5354406130268199,
P3,0.8580888877114756,0.16378647072443772,-0.3371724619017909,18,0.5325670498084292,
P3,0.8572676616469079,0.16363017662901053,-0.23202717825661587,18,0.5354406130268199,
P1,0.8439396013760423,0.15564750300667277,-0.3371724619017905,18,0.507183908045977,
P3,0.836944582261086,0.1597619157769549,-0.24128997918840153,36,0.5311302681992337,
P1,0.8273220509874256,0.11869657418762311,-0.3068763102248614,40,0.47988505747126436,
P1,0.8257497127169469,0.15665085391685202,-0.3371724619017907,6,0.5335249042145593,
P1,0.8196630245807576,0.12524581125359446,-0.31207011077703706,18,0.5076628352490421,
P1,0.810478895212581,0.12305809443127454,-0.2808545540749095,36,0.5023946360153256,
P1,0.7905978237111052,0.1259884324223125,-0.32547435550223597,18,0.5062260536398467,
P1,0.7753340644387977,0.13596028875444885,-0.2666843152303166,8,0.521551724137931,
P1,0.7725943548357259,0.14750853528890776,-0.3371724619017907,0,0.5340038314176245,
P3,0.7725943548357259,0.14750853528890776,-0.3371724619017907,0,0.5340038314176245,
