lag,ccf,se,significant_95
-20,-0.0015856635095359095,0.012147341951316728,False
-19,-0.0035956466774769427,0.012147341951316728,False
-18,0.0014897839796200834,0.012147341951316728,False
-17,-0.06762746784068409,0.012147341951316728,True
-16,-0.004309620767809653,0.012147341951316728,False
-15,0.03307235090914142,0.012147341951316728,True
-14,0.012749113117277841,0.012147341951316728,False
-13,0.017940691606097226,0.012147341951316728,False
-12,-0.03811180583699256,0.012147341951316728,True
-11,0.015411495665972096,0.012147341951316728,False
-10,-0.02340195706492206,0.012147341951316728,False
-9,-0.04656565797454238,0.012147341951316728,True
-8,0.008651245799961842,0.012147341951316728,False
-7,-0.03261487223806848,0.012147341951316728,True
-6,0.043438993803608085,0.012147341951316728,True
-5,-0.025646281959145176,0.012147341951316728,True
-4,0.016150549538359392,0.012147341951316728,False
-3,0.013828594115476427,0.012147341951316728,False
-2,-0.03681086992626096,0.012147341951316728,True
-1,-0.15068779105381536,0.012147341951316728,True
0,-0.47887795265227207,0.012147341951316728,True
1,0.01735691275377937,0.012147341951316728,False
2,-0.030978666683634932,0.012147341951316728,True
3,-0.011262702287734487,0.012147341951316728,False
4,-0.012435915041558636,0.012147341951316728,False
5,-0.0015517187694004792,0.012147341951316728,False
6,0.03191711313506699,0.012147341951316728,True
7,-0.022519173489235947,0.012147341951316728,False
8,0.014826498391982228,0.012147341951316728,False
9,-0.01972919896340772,0.012147341951316728,False
10,-0.007112988580476971,0.012147341951316728,False
11,-0.0017327970016617008,0.012147341951316728,False
12,0.011499873285487653,0.012147341951316728,False
13,0.029124367467233906,0.012147341951316728,True
14,-0.004982500146951273,0.012147341951316728,False
15,0.0158490162927596,0.012147341951316728,False
16,0.006778520318659139,0.012147341951316728,False
17,0.0015361147170693684,0.012147341951316728,False
18,0.01809777609436183,0.012147341951316728,False
19,0.0017850260901835257,0.012147341951316728,False
20,0.012750745145702382,0.012147341951316728,False
